Canopy,Longitude,Latitude
0,-97.130182,49.749777
0,-97.134345,49.95474
1,-97.159096,49.892032
0,-97.248803,49.889366
0,-97.208387,49.718299
0,-97.28206,49.873679
0,-97.314328,49.866281
0,-97.103875,49.83504
1,-97.16086,49.866142
0,-97.042647,49.87231
0,-97.080956,49.839298
1,-97.236991,49.868866
0,-97.13144,49.861364
0,-97.044933,49.871664
0,-97.172582,49.936288
0,-97.08307,49.796388
0,-97.047086,49.828791
0,-97.166003,49.858297
0,-97.208963,49.731231
0,-97.189701,49.922994
0,-97.266008,49.849795
0,-97.064465,49.956061
0,-97.065967,49.836198
0,-97.262681,49.837973
0,-97.212844,49.931868
0,-97.14243,49.976494
0,-97.313497,49.910476
0,-97.205202,49.778657
0,-97.033949,49.891269
1,-97.305288,49.88777
1,-96.984529,49.900683
0,-97.282803,49.868289
0,-97.06423,49.951163
0,-97.152669,49.949374
0,-97.134729,49.939688
0,-97.260321,49.89958
0,-97.085337,49.753481
0,-97.187419,49.774961
1,-97.314325,49.864093
0,-97.230545,49.904813
0,-97.079487,49.936558
0,-97.308096,49.870806
0,-97.279102,49.929023
0,-97.295481,49.811073
0,-97.059787,49.845611
0,-97.115959,49.89907
0,-97.19016,49.796857
0,-97.070487,49.934508
0,-97.10226,49.749248
1,-97.234056,49.867046
0,-97.107429,49.861141
0,-97.19483,49.842723
0,-97.045913,49.884561
0,-97.049238,49.841018
0,-97.182862,49.751325
1,-97.204572,49.859598
0,-97.1423,49.764508
0,-97.195665,49.877317
0,-97.041794,49.906796
0,-97.165753,49.949099
0,-97.055469,49.884956
0,-97.146706,49.926811
0,-97.05172,49.820459
0,-97.116646,49.820091
0,-97.190886,49.78087
0,-97.137087,49.921544
0,-97.234666,49.849531
0,-97.275061,49.814334
0,-97.25993,49.854767
0,-97.108546,49.808815
0,-97.095322,49.867771
0,-97.153407,49.94026
0,-97.029901,49.87706
0,-97.186097,49.959061
0,-97.0425,49.909605
1,-97.052495,49.868396
1,-97.252215,49.867048
0,-97.26881,49.90532
0,-97.052961,49.93358
0,-97.200733,49.919454
0,-97.092922,49.880744
0,-97.190568,49.948304
0,-97.194297,49.8731
1,-97.131994,49.941171
0,-97.117678,49.911693
0,-97.154973,49.896835
0,-97.209469,49.782639
0,-97.046623,49.848529
0,-97.264588,49.922147
0,-97.125554,49.900444
0,-97.0586,49.887312
0,-97.071849,49.821585
0,-97.079093,49.852095
0,-97.294822,49.914339
0,-97.14311,49.972143
0,-97.295679,49.895682
0,-97.066141,49.916223
1,-97.138808,49.9049
0,-97.31415,49.902419
0,-97.139888,49.922062
0,-97.155796,49.766259
0,-97.083613,49.855182
0,-97.083445,49.92465
0,-97.336562,49.8315
0,-97.109939,49.865919
0,-97.263418,49.919877
0,-97.118482,49.868096
0,-97.108442,49.827674
0,-97.051871,49.821623
1,-97.27166,49.905315
0,-96.958193,49.892778
0,-97.31404,49.839082
0,-97.282023,49.855525
1,-97.116195,49.765973
0,-97.081543,49.912211
1,-97.135175,49.779172
0,-97.256134,49.839383
0,-97.299331,49.811894
0,-97.198005,49.774642
0,-97.104579,49.775244
0,-97.144065,49.807584
0,-97.300881,49.905808
0,-97.00509,49.877261
0,-97.089144,49.778452
0,-97.097052,49.760506
0,-97.283562,49.842107
0,-97.045956,49.923457
0,-97.065011,49.829027
0,-97.06868,49.864935
0,-97.029054,49.808039
0,-97.073638,49.783814
0,-97.026474,49.804483
0,-97.183287,49.793043
0,-97.229783,49.917146
0,-97.099674,49.849102
0,-97.195382,49.769144
0,-97.099779,49.748906
0,-97.249073,49.857837
1,-97.107284,49.932871
1,-97.135981,49.866718
1,-97.057017,49.866199
0,-97.069938,49.84023
0,-97.036821,49.935804
1,-97.16722,49.928269
0,-97.142687,49.741428
0,-97.013401,49.892978
0,-96.963397,49.89634
0,-97.271782,49.887087
0,-97.211933,49.790359
0,-97.108125,49.895478
0,-97.190991,49.813
1,-97.149135,49.833172
1,-97.215259,49.890221
0,-97.113745,49.780051
0,-97.209658,49.801851
0,-97.074985,49.816462
0,-97.074773,49.945487
0,-97.226301,49.950531
1,-97.24017,49.871405
0,-97.287045,49.81989
0,-97.280717,49.915871
