city,grid_id,built_area_total_m2,number_of_buildings,mean_building_size
Vancouver,4042_45469,0.0,0.0,0.0
Vancouver,4042_45447,0.0,0.0,0.0
Vancouver,4042_45446,0.0,0.0,0.0
Vancouver,4042_45445,0.0,0.0,0.0
Vancouver,4042_45444,0.0,0.0,0.0
Vancouver,4042_45443,0.0,0.0,0.0
Vancouver,4042_45442,0.0,0.0,0.0
Vancouver,4042_45441,0.0,0.0,0.0
Vancouver,4042_45440,0.0,0.0,0.0
Vancouver,4042_45439,0.0,0.0,0.0
Vancouver,4042_45438,0.0,0.0,0.0
Vancouver,4043_45485,0.0,0.0,0.0
Vancouver,4043_45484,0.0,0.0,0.0
Vancouver,4043_45483,0.0,0.0,0.0
Vancouver,4043_45482,0.0,0.0,0.0
Vancouver,4043_45481,0.0,0.0,0.0
Vancouver,4043_45480,0.0,0.0,0.0
Vancouver,4043_45479,0.0,0.0,0.0
Vancouver,4043_45478,0.0,0.0,0.0
Vancouver,4043_45477,0.0,0.0,0.0
Vancouver,4043_45476,0.0,0.0,0.0
Vancouver,4043_45475,0.0,0.0,0.0
Vancouver,4043_45474,0.0,0.0,0.0
Vancouver,4043_45473,0.0,0.0,0.0
Vancouver,4043_45472,0.0,0.0,0.0
Vancouver,4043_45471,0.0,0.0,0.0
Vancouver,4043_45470,0.0,0.0,0.0
Vancouver,4043_45469,0.0,0.0,0.0
Vancouver,4043_45446,0.0,0.0,0.0
Vancouver,4043_45445,0.0,0.0,0.0
Vancouver,4043_45444,0.0,0.0,0.0
Vancouver,4043_45443,0.0,0.0,0.0
Vancouver,4043_45442,0.0,0.0,0.0
Vancouver,4043_45441,0.0,0.0,0.0
Vancouver,4043_45440,0.0,0.0,0.0
Vancouver,4043_45439,0.0,0.0,0.0
Vancouver,4043_45438,0.0,0.0,0.0
Vancouver,4043_45437,0.0,0.0,0.0
Vancouver,4044_45484,0.0,0.0,0.0
Vancouver,4044_45483,0.0,0.0,0.0
Vancouver,4044_45482,0.0,0.0,0.0
Vancouver,4044_45481,0.0,0.0,0.0
Vancouver,4044_45480,0.0,0.0,0.0
Vancouver,4044_45479,0.0,0.0,0.0
Vancouver,4044_45478,0.0,0.0,0.0
Vancouver,4044_45477,0.0,0.0,0.0
Vancouver,4044_45476,0.0,0.0,0.0
Vancouver,4044_45475,0.0,0.0,0.0
Vancouver,4044_45474,0.0,0.0,0.0
Vancouver,4044_45473,0.0,0.0,0.0
Vancouver,4044_45472,0.0,0.0,0.0
Vancouver,4044_45471,0.0,0.0,0.0
Vancouver,4044_45470,0.0,0.0,0.0
Vancouver,4044_45469,0.0,0.0,0.0
Vancouver,4044_45468,0.0,0.0,0.0
Vancouver,4044_45467,0.0,0.0,0.0
Vancouver,4044_45459,0.0,0.0,0.0
Vancouver,4044_45446,0.0,0.0,0.0
Vancouver,4044_45445,0.0,0.0,0.0
Vancouver,4044_45444,0.0,0.0,0.0
Vancouver,4044_45443,0.0,0.0,0.0
Vancouver,4044_45442,0.0,0.0,0.0
Vancouver,4044_45441,0.0,0.0,0.0
Vancouver,4044_45440,0.0,0.0,0.0
Vancouver,4044_45439,0.0,0.0,0.0
Vancouver,4044_45438,0.0,0.0,0.0
Vancouver,4044_45437,0.0,0.0,0.0
Vancouver,4044_45436,0.0,0.0,0.0
Vancouver,4045_45484,0.0,0.0,0.0
Vancouver,4045_45483,0.0,0.0,0.0
Vancouver,4045_45482,0.0,0.0,0.0
Vancouver,4045_45481,0.0,0.0,0.0
Vancouver,4045_45480,0.0,0.0,0.0
Vancouver,4045_45479,0.0,0.0,0.0
Vancouver,4045_45478,0.0,0.0,0.0
Vancouver,4045_45477,0.0,0.0,0.0
Vancouver,4045_45476,0.0,0.0,0.0
Vancouver,4045_45475,0.0,0.0,0.0
Vancouver,4045_45474,0.0,0.0,0.0
Vancouver,4045_45473,0.0,0.0,0.0
Vancouver,4045_45472,0.0,0.0,0.0
Vancouver,4045_45471,0.0,0.0,0.0
Vancouver,4045_45470,0.0,0.0,0.0
Vancouver,4045_45469,0.0,0.0,0.0
Vancouver,4045_45468,0.0,0.0,0.0
Vancouver,4045_45467,0.0,0.0,0.0
Vancouver,4045_45459,0.0,0.0,0.0
Vancouver,4045_45458,0.0,0.0,0.0
Vancouver,4045_45446,0.0,0.0,0.0
Vancouver,4045_45445,0.0,0.0,0.0
Vancouver,4045_45444,0.0,0.0,0.0
Vancouver,4045_45443,0.0,0.0,0.0
Vancouver,4045_45442,0.0,0.0,0.0
Vancouver,4045_45441,0.0,0.0,0.0
Vancouver,4045_45440,0.0,0.0,0.0
Vancouver,4045_45439,0.0,0.0,0.0
Vancouver,4045_45438,0.0,0.0,0.0
Vancouver,4045_45437,0.0,0.0,0.0
Vancouver,4045_45436,0.0,0.0,0.0
Vancouver,4045_45435,0.0,0.0,0.0
Vancouver,4046_45483,0.0,0.0,0.0
Vancouver,4046_45482,0.0,0.0,0.0
Vancouver,4046_45481,0.0,0.0,0.0
Vancouver,4046_45480,0.0,0.0,0.0
Vancouver,4046_45479,0.0,0.0,0.0
Vancouver,4046_45478,0.0,0.0,0.0
Vancouver,4046_45477,0.0,0.0,0.0
Vancouver,4046_45476,0.0,0.0,0.0
Vancouver,4046_45475,0.0,0.0,0.0
Vancouver,4046_45474,0.0,0.0,0.0
Vancouver,4046_45473,0.0,0.0,0.0
Vancouver,4046_45472,0.0,0.0,0.0
Vancouver,4046_45471,0.0,0.0,0.0
Vancouver,4046_45470,0.0,0.0,0.0
Vancouver,4046_45469,0.0,0.0,0.0
Vancouver,4046_45468,0.0,0.0,0.0
Vancouver,4046_45467,0.0,0.0,0.0
Vancouver,4046_45459,0.0,0.0,0.0
Vancouver,4046_45458,0.0,0.0,0.0
Vancouver,4046_45445,0.0,0.0,0.0
Vancouver,4046_45444,0.0,0.0,0.0
Vancouver,4046_45443,0.0,0.0,0.0
Vancouver,4046_45442,0.0,0.0,0.0
Vancouver,4046_45441,0.0,0.0,0.0
Vancouver,4046_45440,0.0,0.0,0.0
Vancouver,4046_45439,0.0,0.0,0.0
Vancouver,4046_45438,0.0,0.0,0.0
Vancouver,4046_45437,0.0,0.0,0.0
Vancouver,4046_45436,0.0,0.0,0.0
Vancouver,4046_45435,0.0,0.0,0.0
Vancouver,4046_45434,0.0,0.0,0.0
Vancouver,4047_45483,0.0,0.0,0.0
Vancouver,4047_45482,0.0,0.0,0.0
Vancouver,4047_45481,0.0,0.0,0.0
Vancouver,4047_45480,0.0,0.0,0.0
Vancouver,4047_45479,0.0,0.0,0.0
Vancouver,4047_45478,0.0,0.0,0.0
Vancouver,4047_45477,0.0,0.0,0.0
Vancouver,4047_45476,0.0,0.0,0.0
Vancouver,4047_45475,0.0,0.0,0.0
Vancouver,4047_45474,0.0,0.0,0.0
Vancouver,4047_45473,0.0,0.0,0.0
Vancouver,4047_45472,0.0,0.0,0.0
Vancouver,4047_45471,0.0,0.0,0.0
Vancouver,4047_45470,0.0,0.0,0.0
Vancouver,4047_45469,0.0,0.0,0.0
Vancouver,4047_45468,0.0,0.0,0.0
Vancouver,4047_45467,0.0,0.0,0.0
Vancouver,4047_45459,0.0,0.0,0.0
Vancouver,4047_45458,0.0,0.0,0.0
Vancouver,4047_45449,0.0,0.0,0.0
Vancouver,4047_45445,0.0,0.0,0.0
Vancouver,4047_45444,0.0,0.0,0.0
Vancouver,4047_45443,0.0,0.0,0.0
Vancouver,4047_45442,0.0,0.0,0.0
Vancouver,4047_45441,0.0,0.0,0.0
Vancouver,4047_45440,0.0,0.0,0.0
Vancouver,4047_45439,0.0,0.0,0.0
Vancouver,4047_45438,0.0,0.0,0.0
Vancouver,4047_45437,0.0,0.0,0.0
Vancouver,4047_45436,0.0,0.0,0.0
Vancouver,4047_45435,0.0,0.0,0.0
Vancouver,4047_45434,0.0,0.0,0.0
Vancouver,4047_45433,0.0,0.0,0.0
Vancouver,4048_45481,0.0,0.0,0.0
Vancouver,4048_45480,0.0,0.0,0.0
Vancouver,4048_45479,0.0,0.0,0.0
Vancouver,4048_45478,0.0,0.0,0.0
Vancouver,4048_45477,0.0,0.0,0.0
Vancouver,4048_45476,0.0,0.0,0.0
Vancouver,4048_45475,0.0,0.0,0.0
Vancouver,4048_45474,0.0,0.0,0.0
Vancouver,4048_45473,0.0,0.0,0.0
Vancouver,4048_45472,0.0,0.0,0.0
Vancouver,4048_45471,0.0,0.0,0.0
Vancouver,4048_45470,0.0,0.0,0.0
Vancouver,4048_45469,0.0,0.0,0.0
Vancouver,4048_45468,0.0,0.0,0.0
Vancouver,4048_45467,0.0,0.0,0.0
Vancouver,4048_45466,0.0,0.0,0.0
Vancouver,4048_45465,0.0,0.0,0.0
Vancouver,4048_45464,0.0,0.0,0.0
Vancouver,4048_45463,0.0,0.0,0.0
Vancouver,4048_45462,0.0,0.0,0.0
Vancouver,4048_45461,0.0,0.0,0.0
Vancouver,4048_45460,0.0,0.0,0.0
Vancouver,4048_45459,0.0,0.0,0.0
Vancouver,4048_45458,0.0,0.0,0.0
Vancouver,4048_45457,0.0,0.0,0.0
Vancouver,4048_45456,0.0,0.0,0.0
Vancouver,4048_45455,0.0,0.0,0.0
Vancouver,4048_45454,0.0,0.0,0.0
Vancouver,4048_45453,0.0,0.0,0.0
Vancouver,4048_45452,0.0,0.0,0.0
Vancouver,4048_45451,0.0,0.0,0.0
Vancouver,4048_45450,0.0,0.0,0.0
Vancouver,4048_45449,0.0,0.0,0.0
Vancouver,4048_45448,0.0,0.0,0.0
Vancouver,4048_45447,0.0,0.0,0.0
Vancouver,4048_45446,0.0,0.0,0.0
Vancouver,4048_45445,0.0,0.0,0.0
Vancouver,4048_45444,0.0,0.0,0.0
Vancouver,4048_45443,0.0,0.0,0.0
Vancouver,4048_45442,0.0,0.0,0.0
