Canopy,Longitude,Latitude
0,-97.215617,49.717484
0,-97.211292,49.72021
0,-97.219604,49.720424
0,-97.214998,49.717229
0,-97.213876,49.722466
0,-97.214696,49.721694
0,-97.219042,49.717087
0,-97.216501,49.715656
0,-97.220028,49.716142
0,-97.215148,49.719934
0,-97.219107,49.71817
0,-97.219342,49.72272
0,-97.208411,49.722754
0,-97.208024,49.719564
0,-97.208078,49.718047
0,-97.206973,49.721842
0,-97.199421,49.72268
0,-97.203276,49.719554
0,-97.196012,49.72209
0,-97.199308,49.72135
0,-97.208037,49.717889
0,-97.19877,49.721126
0,-97.196798,49.722371
0,-97.205619,49.721801
0,-97.206229,49.72134
0,-97.205942,49.72105
0,-97.206387,49.721863
0,-97.20382,49.72077
0,-97.198595,49.722124
0,-97.209182,49.717803
0,-97.2075,49.718028
0,-97.203032,49.722106
0,-97.198034,49.721763
0,-97.208693,49.720128
0,-97.208515,49.719085
0,-97.202,49.721046
0,-97.209531,49.722538
0,-97.208977,49.719325
0,-97.207262,49.719007
0,-97.206766,49.71935
0,-97.201288,49.720981
0,-97.20617,49.722801
0,-97.205433,49.720893
0,-97.205362,49.721675
0,-97.208179,49.720345
0,-97.203411,49.719533
0,-97.200342,49.722262
0,-97.198968,49.721402
0,-97.206997,49.718732
0,-97.198129,49.721612
0,-97.203268,49.720153
0,-97.208109,49.71818
0,-97.200455,49.722525
0,-97.20797,49.722415
0,-97.202663,49.721388
0,-97.200947,49.722704
0,-97.20733,49.71873
0,-97.203138,49.722692
0,-97.200109,49.721993
0,-97.206385,49.720985
0,-97.20395,49.720748
0,-97.201314,49.720276
0,-97.207481,49.718727
0,-97.205607,49.722051
0,-97.196351,49.722492
0,-97.20922,49.71943
0,-97.207067,49.718912
0,-97.205872,49.719727
0,-97.206176,49.719688
0,-97.197806,49.721849
0,-97.195802,49.722247
0,-97.203941,49.720349
0,-97.206705,49.718641
0,-97.195636,49.722542
0,-97.195314,49.722375
0,-97.211491,49.727808
0,-97.215618,49.730767
0,-97.21774,49.725428
0,-97.219637,49.723213
0,-97.219116,49.728764
0,-97.212014,49.731258
0,-97.210338,49.727964
0,-97.212015,49.727501
0,-97.21076,49.729255
0,-97.216155,49.725177
0,-97.219409,49.729666
0,-97.218049,49.730286
0,-97.211986,49.729482
0,-97.214224,49.730608
0,-97.212547,49.730609
0,-97.218174,49.729177
0,-97.213272,49.731278
0,-97.20981,49.728442
0,-97.215512,49.72328
0,-97.215122,49.723342
0,-97.214016,49.726651
0,-97.214754,49.726203
0,-97.211421,49.730013
0,-97.212079,49.728101
0,-97.218863,49.726962
0,-97.216348,49.729158
0,-97.21157,49.730637
0,-97.213211,49.725202
0,-97.213644,49.73156
0,-97.210815,49.727964
0,-97.212641,49.729303
0,-97.210929,49.730563
0,-97.210773,49.729985
0,-97.2149,49.727429
0,-97.216738,49.729712
0,-97.2149,49.727096
0,-97.212595,49.7243
0,-97.210156,49.727454
0,-97.212125,49.724917
0,-97.211641,49.723956
0,-97.219383,49.726066
0,-97.217928,49.726821
0,-97.219222,49.728731
0,-97.212199,49.729909
0,-97.216108,49.725666
0,-97.213099,49.724728
0,-97.217023,49.727578
0,-97.214448,49.723831
0,-97.21778,49.72876
0,-97.21267,49.731678
0,-97.214372,49.725182
0,-97.216177,49.729473
0,-97.219414,49.725637
0,-97.218057,49.726789
0,-97.213996,49.7281
0,-97.212095,49.731056
0,-97.211918,49.726375
